CustomerID,Name,Gender,Age,Annual Income ($),Profession,Cases,Sessions,Category,Satisfaction,Date,Resolution Time,Resolved
1,Victor Lee,Male,45,15000,Healthcare,1,4,Divorce,5,2014-01-02,53,Yes
1230,,Male,41,51199,Executive,0,6,Divorce,3,2022-10-06,39,Yes
3,Susan Tan,Female,49,86000,Engineer,1,3,Adoption,4,2014-01-07,7,Yes
4,,Female,42,59000,Lawyer,1,3,Adoption,4,2014-01-09,42,Yes
5,,Female,64,38000,Entertainment,3,0,Divorce,5,2014-01-17,14,Yes
6,,Female,49,58000,Artist,4,5,Custody,5,2014-01-20,33,Yes
7,,Female,57,31000,Healthcare,2,3,Adoption,3,2014-01-21,43,Yes
8,,Female,43,84000,Healthcare,4,4,Willmaking,5,2014-01-24,10,Yes
9,,Male,55,97000,Engineer,0,1,Custody,3,2014-01-27,12,Yes
10,,Female,52,98000,Artist,3,1,Divorce,4,2014-01-28,38,Yes
11,,Male,43,7000,Engineer,2,4,Divorce,4,2014-01-30,50,Yes
1381,,Female,33,119557,Artist,3,1,Divorce,4,2019-10-12,54,Yes
13,,Female,63,80000,Executive,2,2,Divorce,5,2014-02-19,33,Yes
14,,Female,42,91000,Lawyer,2,3,Adoption,3,2014-02-22,9,Yes
15,,Male,38,51000,Healthcare,0,4,Willmaking,5,2014-02-24,8,Yes
716,,Female,24,67613,Entertainment,3,4,Divorce,3,2023-02-02,13,No
17,,Female,31,29000,Homemaker,3,0,Divorce,5,2014-02-25,44,Yes
18,,Male,27,89000,Healthcare,1,5,Divorce,5,2014-02-27,21,Yes
659,,Male,52,97562,Executive,2,6,Divorce,5,2016-10-15,19,Yes
20,,Female,29,62000,Artist,2,4,Custody,5,2014-03-20,14,Yes
21,,Male,38,96000,Homemaker,1,2,Adoption,3,2014-03-21,43,Yes
22,,Male,42,4000,Healthcare,3,3,Willmaking,5,2014-03-24,7,Yes
23,,Female,32,42000,Artist,4,2,Divorce,4,2014-03-27,20,Yes
24,,Male,38,71000,Artist,4,6,Custody,5,2014-03-31,10,Yes
25,,Male,44,52000,Artist,4,6,Divorce,5,2014-04-01,7,Yes
26,,Female,35,67000,Executive,0,1,Divorce,5,2014-04-01,23,Yes
372,,Male,53,162612,Engineer,4,6,Divorce,4,2018-03-21,50,Yes
1003,,Female,30,75125,Executive,1,0,Divorce,3,2022-11-07,43,Yes
29,,Male,41,78000,Artist,4,5,Divorce,5,2014-04-14,45,Yes
30,,Female,73,20000,Artist,2,0,Willmaking,5,2014-04-20,11,Yes
31,,Male,43,39000,Artist,3,0,Custody,4,2014-04-29,49,Yes
32,,Female,50,34000,Doctor,0,2,Divorce,5,2014-05-02,19,Yes
33,,Male,61,59000,Healthcare,4,5,Willmaking,4,2014-05-04,9,Yes
34,,Male,62,62000,Homemaker,4,3,Willmaking,3,2014-05-06,9,Yes
697,,Female,52,64310,Marketing,1,3,Divorce,3,2020-08-12,19,Yes
36,,Female,39,95000,Healthcare,4,4,Adoption,4,2014-05-12,33,Yes
37,,Female,46,62000,Healthcare,0,3,Adoption,4,2014-05-17,21,Yes
38,,Female,62,14000,Doctor,4,1,Divorce,4,2014-05-17,34,Yes
360,,Female,23,105935,Doctor,4,0,Divorce,4,2022-11-13,48,Yes
40,,Female,29,69000,Artist,2,4,Custody,3,2014-05-22,32,Yes
41,,Female,44,25000,Artist,3,6,Divorce,4,2014-05-27,22,Yes
1603,,Female,38,173233,,0,3,Divorce,4,2020-08-16,21,Yes
43,,Male,38,22000,Artist,0,5,Willmaking,5,2014-06-01,7,Yes
44,,Female,54,33000,Artist,3,3,Divorce,4,2014-06-03,19,Yes
45,,Female,36,3000,Lawyer,3,5,Willmaking,4,2014-06-05,14,Yes
46,,Female,48,72000,Engineer,4,6,Willmaking,4,2014-06-05,13,Yes
47,,Female,39,52000,Artist,0,4,Willmaking,4,2014-06-08,6,Yes
48,,Female,45,71000,Healthcare,2,0,Custody,3,2014-06-18,54,Yes
609,,Female,65,132374,Marketing,4,0,Divorce,3,2021-07-25,45,Yes
50,,Female,32,25000,Engineer,0,0,Divorce,4,2014-06-26,38,Yes
51,,Female,59,88000,Artist,4,3,Divorce,4,2014-06-29,50,Yes
52,,Male,43,97000,Artist,2,2,Divorce,5,2014-06-29,23,Yes
53,,Female,53,74000,Artist,1,0,Willmaking,3,2014-07-02,15,Yes
54,,Male,45,68000,Entertainment,4,1,Divorce,4,2014-07-04,9,Yes
1972,,Female,32,149797,Artist,4,0,Divorce,3,2023-02-12,18,No
1228,,Male,38,151298,Artist,4,1,Divorce,5,2019-01-20,7,Yes
57,,Female,53,71000,Healthcare,1,3,Divorce,5,2014-07-20,29,Yes
58,,Male,28,8000,Doctor,2,6,Adoption,5,2014-07-20,7,Yes
59,,Male,74,89000,Lawyer,1,0,Willmaking,4,2014-07-23,7,Yes
682,,Male,37,148208,,0,3,Divorce,4,2021-04-29,44,Yes
28,,Male,32,73410,Entertainment,3,2,Divorce,5,2020-08-11,46,Yes
1820,,Female,32,168710,Doctor,4,6,Divorce,5,2022-08-25,22,Yes
1220,,Female,42,81802,Homemaker,0,0,Divorce,5,2020-12-25,37,Yes
64,,Female,63,48000,Lawyer,3,4,Willmaking,5,2014-07-30,18,Yes
65,,Male,37,63000,Lawyer,1,6,Divorce,4,2014-07-30,29,Yes
66,,Male,42,9000,Entertainment,0,0,Custody,5,2014-08-05,49,Yes
67,,Female,36,3000,Doctor,0,2,Custody,5,2014-08-06,37,Yes
929,,Male,43,161156,Engineer,2,5,Divorce,4,2019-06-01,45,Yes
69,,Male,38,81000,Artist,0,2,Divorce,4,2014-08-19,8,Yes
1229,,Female,61,165810,Healthcare,3,6,Divorce,5,2022-07-23,45,Yes
71,,Male,52,91000,Healthcare,3,3,Willmaking,5,2014-08-26,19,Yes
717,,Male,46,74050,Entertainment,3,0,Divorce,3,2023-02-21,31,No
73,,Female,53,44000,Artist,4,6,Divorce,4,2014-09-12,24,Yes
74,,Female,44,10000,Healthcare,4,5,Divorce,5,2014-09-17,23,Yes
75,,Male,35,89000,Artist,4,0,Adoption,3,2014-09-19,43,Yes
76,,Male,53,49000,Homemaker,2,3,Divorce,4,2014-09-24,44,Yes
803,,Female,43,140648,Executive,1,3,Divorce,3,2022-01-20,13,Yes
78,,Male,42,99000,Artist,1,2,Custody,4,2014-10-07,12,Yes
79,,Female,25,97000,Engineer,2,3,Adoption,4,2014-10-08,32,Yes
80,,Female,55,98000,,3,6,Custody,4,2014-10-11,32,Yes
81,,Male,38,52000,Healthcare,0,2,Adoption,5,2014-10-12,22,Yes
82,,Male,49,61000,Healthcare,0,0,Divorce,4,2014-10-13,41,Yes
83,,Male,47,120000,Artist,3,0,Custody,3,2014-10-15,52,Yes
84,,Female,48,34000,Entertainment,0,4,Divorce,5,2014-10-16,51,Yes
85,,Female,45,24000,Marketing,1,3,Adoption,3,2014-10-19,23,Yes
86,,Male,27,31000,Healthcare,2,5,Custody,3,2014-10-19,41,Yes
1007,,Female,44,67874,Artist,3,1,Divorce,5,2018-07-08,34,Yes
88,,Female,65,55000,Artist,1,6,Divorce,4,2014-10-26,34,Yes
1638,,Male,44,33000,Marketing,4,1,Divorce,4,2016-02-15,9,Yes
491,,Female,31,45000,Artist,1,2,Divorce,5,2015-10-18,38,Yes
1048,,Male,23,115996,Engineer,4,3,Divorce,5,2017-12-22,14,Yes
92,,Male,45,36000,Artist,4,5,Willmaking,5,2014-10-29,15,Yes
93,,Male,30,88000,Artist,1,4,Custody,4,2014-10-30,8,Yes
94,,Female,29,31000,Entertainment,0,0,Divorce,5,2014-11-01,43,Yes
95,,Female,28,24000,Artist,3,2,Custody,3,2014-11-04,9,Yes
96,,Male,40,80000,Artist,4,0,Willmaking,3,2014-11-07,6,Yes
97,,Female,34,2000,Artist,1,0,Adoption,3,2014-11-08,6,Yes
314,,Female,48,58318,Doctor,4,4,Divorce,4,2020-01-14,42,Yes
99,,Male,29,58000,Doctor,2,2,Custody,3,2014-11-09,33,Yes
100,,Male,33,80000,Engineer,3,5,Custody,3,2014-11-11,29,Yes
101,,Female,39,4000,Executive,3,3,Custody,4,2014-11-14,49,Yes
102,,Female,26,65000,Artist,3,0,Adoption,3,2014-11-14,40,Yes
103,,Male,45,98000,Artist,2,5,Divorce,4,2014-11-19,27,Yes
104,,Male,35,52000,Executive,0,5,Adoption,5,2014-11-26,52,Yes
105,,Male,43,86000,Healthcare,1,1,Willmaking,5,2014-11-30,9,Yes
106,,Female,69,82000,Doctor,2,5,Willmaking,4,2014-12-03,11,Yes
107,,Female,71,43000,Homemaker,2,5,Willmaking,4,2014-12-08,9,Yes
327,,Male,30,185321,Artist,4,6,Divorce,3,2019-01-19,23,Yes
109,,Male,50,13000,Healthcare,4,3,Divorce,4,2014-12-16,39,Yes
110,,Male,45,13000,Healthcare,0,3,Custody,3,2014-12-17,30,Yes
1788,,Female,28,89972,Artist,2,0,Divorce,4,2019-10-17,36,Yes
112,,Female,29,25000,Artist,4,3,Custody,5,2014-12-30,34,Yes
113,,Female,38,71000,Doctor,3,1,Divorce,5,2014-12-31,31,Yes
114,,Male,50,2000,Artist,2,1,Divorce,5,2015-01-08,33,Yes
63,,Male,29,64738,Artist,4,0,Divorce,4,2021-03-22,32,Yes
116,,Female,46,97000,Executive,1,4,Divorce,4,2015-01-09,33,Yes
1297,,Female,62,81138,Healthcare,3,5,Divorce,4,2022-02-20,20,Yes
118,,Female,68,79000,Artist,4,4,Willmaking,5,2015-01-17,7,Yes
119,,Female,31,84000,,1,2,Divorce,5,2015-01-17,44,Yes
120,,Female,37,87000,Artist,3,1,Divorce,4,2015-01-20,7,Yes
121,,Male,49,36000,Executive,4,4,Willmaking,5,2015-01-27,19,Yes
